-280256|EC|1
-1680104|EX|100
-12320248|EX|100
-10759968|KS|1
-10440008|KS|1
-9120036|KS|1
-7680144|KS|1
919772|SK|8
799776|KS|1
2559800|RB|10
1799708|EX|15
2919744|KS|1
-1560272|KS|1
-120208|EX|100
-3360288|EX|100
-2480208|EX|100
-2400212|RB|22
-1840228|EX|200
-800192|EX|1
-600244|KS|1
-2840236|MS|1
-2480280|AC|1
-480168|EX|200
1519708|EX|100
-2200148|EX|100
-1840196|SK|4
-2200184|EX|100
-1800156|SK|14
-840248|SK|51
-3160308|SK|0
-2080116|KS|1
399844|EX|100
3119768|KS|1
799804|AC|1
39804|EX|100
4559492|SK|3
4599508|EX|100
3039472|EV|4
2079568|KS|1
2759624|KS|1
1959768|MS|1
-2160176|KS|1
-4680068|EX|100
-1800088|EX|100
-2919980|RB|10
-3559936|KS|1
-4600020|RB|6
-5479948|EX|200
-5640092|EX|100
-5400104|EX|100
-3520100|RB|8
-4440152|EX|200
-5400236|KS|1
-4600256|RB|12
-6800032|HC|1
-8240012|EX|10
-6720040|EX|10
-11040068|HC|1
-8400124|KS|1
-7960144|EX|200
8|EX|200
-1560188|EC|1
-9799980|EV|2
-10760004|EV|0
-10839992|EX|15
-10120036|EX|100
-11880100|EX|100
-1680140|EX|100
-5719844|SK|2
-4600188|EC|1
919908|RB|13
-560160|RB|20
5359824|EX|100
2719900|EX|15
7679852|KS|1
959960|KS|1
1759964|KS|1
2999808|HC|1
4199828|AC|1
2999904|EX|200
6159900|KS|1
5200140|MS|1
5280264|EX|200
5400276|KS|1
5080304|EC|1
5280296|EX|100
5320328|EX|100
-4080172|RB|8
5400100|KS|1
3199820|KS|1
1720000|EX|15
3639880|EX|100
6279880|EX|100
3279920|RB|22
-7040392|EX|200
-8440352|RB|19
-8600356|EX|100
-8920328|MS|1
-8880252|HC|1
-8720256|AC|1
1599920|EX|100
5119584|AC|1
6199596|AC|1
5719620|HC|1
5879616|MS|1
4319860|KS|1
1479880|RB|22
599844|EC|1
1240020|EC|1
-8160268|MS|1
4959628|EC|1
4639628|KS|1
5439640|SK|5
5639752|AC|1
0|EX|100
4039612|KS|1
3919624|EX|100
4479568|KS|1
3279644|RB|1
4239780|EX|100
4759860|AC|1
4319892|EX|100
3639888|HC|1
3319936|EX|100
5799932|EC|1
4479704|AC|1
5399808|EX|100
4999892|KS|1
5399780|AC|1
1719892|EX|200
2599880|KS|1
3399820|EX|100
4439632|EV|1
4359656|MS|1
4919600|AC|1
5519856|RB|1
6639952|HC|1
6399872|AC|1
-2240084|EX|200
-4199936|RB|8
-6280316|MS|1
12|KS|1
5160336|EC|1
5040476|EX|200
5320488|EX|100
5280500|EV|5
5080496|SK|50
4479832|AC|1
3359784|HC|1
-6080316|KS|1
6359836|RB|6
7599824|KS|1
6839792|EX|100
7639816|HC|1
7959788|RB|0
4759608|EX|200
5119556|KS|1
-400240|AC|1
4199724|RB|0
-160096|EX|100
-8440308|EV|3
1920384|EX|100
1480360|EC|1
2480400|AC|1
639888|RB|0
559720|EX|200
7559600|EX|200
9119928|EX|200
8599904|HC|1
1880164|AC|1
2520192|AC|1
1600136|AC|1
-1919808|EX|200
-319852|RB|14
120164|EX|100
1280164|SK|12
960128|RB|20
1040112|EX|100
20|RB|20
5239456|AC|1
3559792|AC|1
-3200164|KS|1
4079964|AC|1
5160384|EC|1
5280404|RB|0
5360432|RB|10
8719856|AC|1
3160244|EX|100
6759868|AC|1
7839588|EC|1
3959588|EX|100
5919864|RB|17
3519820|AC|1
1839836|KS|1
39756|RB|6
-3600088|EX|200
-5160280|EX|200
8839900|AC|1
6999916|RB|1
5119900|AC|1
4319676|MS|1
719620|EX|200
3439744|AC|1
6080608|EX|200
4560564|EX|15
4680612|KS|1
560340|KS|1
-5119796|AC|1
-4359680|KS|1
-5039728|EX|200
-5159700|EX|100
-5959772|AC|1
2239640|RB|18
3359580|EX|200
3919688|KS|1
3039696|RB|16
2519668|EX|100
5360732|RB|1
5320824|EX|100
5160864|EX|100
4|EX|200
-6119704|EC|1
3879576|EX|15
7199904|EX|100
-4160080|AC|1
5039560|RB|0
3479880|EX|100
-6079672|EX|100
-6119656|EX|200
-6039640|HC|1
-6159632|EX|100
-6279608|EX|200
4159708|AC|1
-6799732|EX|200
-6319752|EX|100
5320660|EC|1
-4879680|EX|200
-4559584|EX|100
-5479592|KS|1
-5919556|EX|100
-4519716|AC|1
-6719712|EX|100
-4799416|EX|200
-6479528|EC|1
-4159572|HC|1
-5159576|EX|100
-6959592|RB|1
16|AC|1
